,Movie_id,Person_id,role
0,0111161,0000175,writer
1,0111161,0001104,writer
2,0068646,0701374,writer
3,0068646,0000338,writer
4,0468569,0634300,writer
5,0468569,0634240,writer
6,0468569,0275286,writer
7,0071562,0000338,writer
8,0071562,0701374,writer
9,0050083,0741627,writer
10,0108052,0447745,writer
11,0108052,0001873,writer
12,0167260,0866058,writer
13,0167260,0909638,writer
14,0167260,0101991,writer
15,0110912,0000233,writer
16,0110912,0000812,writer
17,0120737,0866058,writer
18,0120737,0909638,writer
19,0120737,0101991,writer
20,0060196,0898812,writer
21,0060196,0001466,writer
22,0060196,0408488,writer
23,0109830,0343165,writer
24,0109830,0744839,writer
25,0137523,0657333,writer
26,0137523,0880243,writer
27,0167261,0866058,writer
28,0167261,0909638,writer
29,0167261,0101991,writer
30,1375666,0634240,writer
31,0080684,0102824,writer
32,0080684,0001410,writer
33,0080684,0000184,writer
34,0133093,0905152,writer
35,0133093,0905154,writer
36,0099685,0683380,writer
37,0099685,0000217,writer
38,0073486,0369142,writer
39,0073486,0325743,writer
40,0073486,0450181,writer
41,0114369,0001825,writer
42,0038650,0329304,writer
43,0038650,0352443,writer
44,0038650,0001008,writer
45,0816692,0634300,writer
46,0816692,0634240,writer
47,0047478,0000041,writer
48,0047478,0368074,writer
49,0047478,0644823,writer
50,0102926,0365383,writer
51,0102926,0848217,writer
52,0120815,0734441,writer
53,0317248,0513130,writer
54,0317248,1130251,writer
55,0118799,0148437,writer
56,0118799,0000905,writer
57,0120689,0000175,writer
58,0120689,0001104,writer
59,0103064,0000116,writer
60,0103064,0936537,writer
61,0076759,0000184,writer
62,9362722,0520488,writer
63,9362722,0588087,writer
64,9362722,1709264,writer
65,0088763,0000709,writer
66,0088763,0301826,writer
67,0245429,0594503,writer
68,0253474,0367838,writer
69,0253474,0844262,writer
70,6751668,0094435,writer
71,6751668,8243301,writer
72,0054215,0825010,writer
73,0054215,0088645,writer
74,0172495,0291905,writer
75,0172495,0517589,writer
76,0172495,0629933,writer
77,0110357,0575293,writer
78,0110357,0731271,writer
79,0110357,0941314,writer
80,0110413,0000108,writer
81,0407887,1184258,writer
82,0407887,0538320,writer
83,0407887,0159039,writer
84,0120586,0571346,writer
85,2582802,3227090,writer
86,0482571,0634300,writer
87,0482571,0634240,writer
88,0482571,1793993,writer
89,0095327,0636435,writer
90,0095327,0847223,writer
91,0056058,0847668,writer
92,0056058,0368074,writer
93,0114814,0003160,writer
94,0034583,0258493,writer
95,0034583,0258525,writer
96,0034583,0462321,writer
97,1675434,0619923,writer
98,1675434,0865918,writer
99,1675434,4778840,writer
100,0027977,0000122,writer
101,0095765,0868153,writer
102,0095765,0660031,writer
103,0047396,0371088,writer
104,0047396,0941280,writer
105,0064116,0006872,writer
106,0064116,0001466,writer
107,0064116,0000783,writer
108,0078748,0639321,writer
109,0078748,0795953,writer
110,23849204,0006765,writer
111,23849204,8402629,writer
112,23849204,15090267,writer
113,0021749,0000122,writer
114,0021749,0139714,writer
115,0021749,0188357,writer
116,0078788,0587518,writer
117,0078788,0000338,writer
118,0078788,0380282,writer
119,1853728,0000233,writer
120,0209144,0634240,writer
121,0209144,0634300,writer
122,0910970,0004056,writer
123,0910970,0230032,writer
124,0910970,0714114,writer
125,0082971,0001410,writer
126,0082971,0000184,writer
127,0082971,0442241,writer
128,0405094,0003697,writer
129,0043014,0102818,writer
130,0043014,0000697,writer
131,0043014,0551261,writer
132,0050825,0000040,writer
133,0050825,0932229,writer
134,0050825,0860292,writer
135,4154756,1321655,writer
136,4154756,1321656,writer
137,4154756,0498278,writer
138,4633694,0520488,writer
139,4633694,0745247,writer
140,0081505,0000175,writer
141,0081505,0000040,writer
142,0081505,0424956,writer
143,0051201,0002005,writer
144,0051201,0000697,writer
145,0051201,0475823,writer
146,0032553,0000122,writer
147,0090605,0000116,writer
148,0090605,0318429,writer
149,0090605,0001353,writer
150,0361748,0000233,writer
151,1345836,0634300,writer
152,1345836,0634240,writer
153,1345836,0275286,writer
154,0169547,0050332,writer
155,0057012,0000040,writer
156,0057012,0816143,writer
157,0057012,0313570,writer
158,0364569,1628380,writer
159,0364569,2057405,writer
160,0364569,0661791,writer
161,2380307,0881279,writer
162,2380307,0441735,writer
163,2380307,0017690,writer
164,0086879,0787323,writer
165,0086879,0537004,writer
166,0114709,0005124,writer
167,0114709,0230032,writer
168,0114709,0004056,writer
169,15398776,0634240,writer
170,15398776,3284831,writer
171,15398776,2452558,writer
172,0082096,0000583,writer
173,0082096,0118164,writer
174,0112573,0908824,writer
175,4154796,1321655,writer
176,4154796,1321656,writer
177,4154796,0498278,writer
178,7286456,0680846,writer
179,7286456,0798788,writer
180,7286456,0004170,writer
181,0119698,0594503,writer
182,0119698,0301274,writer
183,0119217,0000354,writer
184,0119217,0000255,writer
185,5311514,1396121,writer
186,5311514,1038805,writer
187,0087843,0340580,writer
188,0087843,0073053,writer
189,0087843,0207401,writer
190,1187043,0430785,writer
191,1187043,0386246,writer
192,1187043,0006765,writer
193,0057565,0644823,writer
194,0057565,0452878,writer
195,0057565,0386750,writer
196,0045152,0173679,writer
197,0045152,0337582,writer
198,8267604,1701024,writer
199,8267604,2764802,writer
200,8267604,9878616,writer
201,0180093,0782968,writer
202,0180093,0004716,writer
203,0091251,0010696,writer
204,0091251,0459552,writer
205,0435761,0005124,writer
206,0435761,0004056,writer
207,0435761,0881279,writer
208,0086190,0001410,writer
209,0086190,0000184,writer
210,0338013,0442109,writer
211,0338013,0327273,writer
212,0338013,1410028,writer
213,2106476,0899121,writer
214,2106476,2105585,writer
215,0062622,0000040,writer
216,0062622,0002009,writer
217,0105236,0000233,writer
218,0105236,0000812,writer
219,0044741,0000041,writer
220,0044741,0368074,writer
221,0044741,0644823,writer
222,0056172,0004122,writer
223,0056172,0933858,writer
224,0053604,0000697,writer
225,0053604,0224634,writer
226,0033467,0542534,writer
227,0033467,0000080,writer
228,0033467,0002144,writer
229,0053125,0499626,writer
230,0022100,0902376,writer
231,0022100,0000485,writer
232,0022100,0414825,writer
233,0052357,0178785,writer
234,0052357,0853138,writer
235,0052357,0092267,writer
236,0036775,0000697,writer
237,0036775,0151452,writer
238,0036775,0128906,writer
239,0086250,0000231,writer
240,0086250,0001328,writer
241,0086250,0372942,writer
242,0211915,0491011,writer
243,0211915,0000466,writer
244,14230458,1110111,writer
245,14230458,1206865,writer
246,1255953,0898288,writer
247,1255953,1416431,writer
248,1255953,4034068,writer
249,0093058,0000040,writer
250,0093058,0380282,writer
251,0093058,0368007,writer
252,0066921,0000040,writer
253,0066921,0121256,writer
254,0113277,0000520,writer
255,1049413,0230032,writer
256,1049413,0677037,writer
257,1049413,0565336,writer
258,0056592,0497369,writer
259,0056592,0285210,writer
260,0070735,0911486,writer
261,1832382,1410815,writer
262,0097576,0090151,writer
263,0097576,0000184,writer
264,0097576,0583675,writer
265,8503618,0592135,writer
266,8503618,2375857,writer
267,0095016,0861636,writer
268,0095016,0835732,writer
269,0095016,0211823,writer
270,0017136,0902376,writer
271,0017136,0000485,writer
272,0986264,1244760,writer
273,0208092,0005363,writer
274,0040522,0953790,writer
275,0040522,0059030,writer
276,0040522,0080755,writer
277,0119488,0255278,writer
278,0119488,0001338,writer
279,0119488,0000436,writer
280,8579674,0005222,writer
281,8579674,4880670,writer
282,0075314,0001707,writer
283,0363163,0251536,writer
284,0363163,0275264,writer
285,0363163,0432622,writer
286,5074352,6328029,writer
287,5074352,6328031,writer
288,5074352,6328030,writer
289,0059578,0001466,writer
290,0059578,0607694,writer
291,0059578,0898812,writer
292,0372784,0004170,writer
293,0372784,0275286,writer
294,0372784,0634240,writer
295,0053291,0000697,writer
296,0053291,0224634,writer
297,0053291,0858329,writer
298,0993846,1010540,writer
299,0993846,0067789,writer
300,0012349,0000122,writer
301,6966692,0885014,writer
302,6966692,0192942,writer
303,6966692,0268380,writer
304,10272386,0358960,writer
305,10272386,1725469,writer
306,1745960,0143596,writer
307,1745960,0258390,writer
308,1745960,0185976,writer
309,0042192,0000581,writer
310,0042192,0650581,writer
311,0055031,0542631,writer
312,0055031,0001050,writer
313,0120382,0629272,writer
314,0469494,0000759,writer
315,0469494,0801737,writer
316,1130884,0436164,writer
317,1130884,1212331,writer
318,0112641,0683380,writer
319,0112641,0000217,writer
320,0089881,0000041,writer
321,0089881,0644823,writer
322,0089881,0406836,writer
323,0107290,0000341,writer
324,0107290,0462895,writer
325,0167404,0796117,writer
326,0457430,0868219,writer
327,0105695,0672459,writer
328,0268978,0326040,writer
329,0268978,0621586,writer
330,0477348,0001054,writer
331,0477348,0001053,writer
332,0477348,0565092,writer
333,0040897,0001379,writer
334,0040897,0871252,writer
335,0055630,0000041,writer
336,0055630,0452878,writer
337,0084787,0484111,writer
338,0084787,0132168,writer
339,0266697,0000233,writer
340,0266697,0000235,writer
341,0071853,0001037,writer
342,0071853,0000092,writer
343,0071853,0001385,writer
344,0057115,0108595,writer
345,0057115,0165412,writer
346,0057115,0122446,writer
347,0266543,0004056,writer
348,0266543,0677037,writer
349,0266543,0721675,writer
350,0042876,0015611,writer
351,0042876,0000041,writer
352,0042876,0368074,writer
353,0080678,0212246,writer
354,0080678,0075015,writer
355,0080678,0000186,writer
356,0347149,0594503,writer
357,0347149,1168510,writer
358,0071315,0001801,writer
359,0071315,0000591,writer
360,1392214,3360706,writer
361,0046912,0461425,writer
362,0031381,0593565,writer
363,0031381,0397608,writer
364,0031381,0308177,writer
365,0434409,0905152,writer
366,0434409,0905154,writer
367,0434409,2331222,writer
368,0120735,0005363,writer
369,1305806,3160078,writer
370,1305806,0002728,writer
371,0081398,0483766,writer
372,0081398,0141734,writer
373,0081398,0678014,writer
374,2096673,0230032,writer
375,2096673,0215455,writer
376,2096673,0498834,writer
377,5027774,1732981,writer
378,0117951,0920543,writer
379,0117951,0388076,writer
380,0050212,0099541,writer
381,0050212,0286025,writer
382,0050212,0933858,writer
383,10872600,0571344,writer
384,10872600,1273099,writer
385,10872600,0498278,writer
386,0116282,0001053,writer
387,0116282,0001054,writer
388,23289160,0393094,writer
389,23289160,0613609,writer
390,23289160,0945724,writer
391,1291584,0640334,writer
392,1291584,3294574,writer
393,1291584,0233561,writer
394,4729430,0655053,writer
395,4729430,2700235,writer
396,4729430,2082813,writer
397,0264464,0007646,writer
398,0264464,1127221,writer
399,0264464,0622288,writer
400,1205489,1010405,writer
401,1205489,3164738,writer
402,0096283,0594503,writer
403,0405159,0353673,writer
404,0405159,0101801,writer
405,1201607,0460141,writer
406,1201607,0746830,writer
407,0118849,0006498,writer
408,0083658,0266684,writer
409,0083658,0672459,writer
410,0083658,0001140,writer
411,2024544,0725983,writer
412,2024544,1185849,writer
413,0112471,0000500,writer
414,0112471,0471811,writer
415,2278388,0959003,writer
416,2278388,0027572,writer
