,id,Name
0,0001104,Frank Darabont
1,0000338,Francis Ford Coppola
2,0634240,Christopher Nolan
3,0001486,Sidney Lumet
4,0000229,Steven Spielberg
5,0001392,Peter Jackson
6,0000233,Quentin Tarantino
7,0001466,Sergio Leone
8,0000709,Robert Zemeckis
9,0000399,David Fincher
10,0449984,Irvin Kershner
11,0905154,Lana Wachowski
12,0905152,Lilly Wachowski
13,0000217,Martin Scorsese
14,0001232,Milos Forman
15,0001008,Frank Capra
16,0000041,Akira Kurosawa
17,0001129,Jonathan Demme
18,0576987,Fernando Meirelles
19,0526199,Kátia Lund
20,0000905,Roberto Benigni
21,0000116,James Cameron
22,0000184,George Lucas
23,1690966,Joaquim Dos Santos
24,5358492,Kemp Powers
25,1042511,Justin K. Thompson
26,0594503,Hayao Miyazaki
27,0000591,Roman Polanski
28,0094435,Bong Joon Ho
29,0000033,Alfred Hitchcock
30,0000631,Ridley Scott
31,0021249,Roger Allers
32,0591450,Rob Minkoff
33,0000108,Luc Besson
34,0443411,Tony Kaye
35,3227090,Damien Chazelle
36,0847223,Isao Takahata
37,0462030,Masaki Kobayashi
38,0001741,Bryan Singer
39,0002031,Michael Curtiz
40,0619923,Olivier Nakache
41,0865918,Éric Toledano
42,0000122,Charles Chaplin
43,0868153,Giuseppe Tornatore
44,0006765,Vidhu Vinod Chopra
45,0004056,Andrew Stanton
46,0003697,Florian Henckel von Donnersmarck
47,0000697,Billy Wilder
48,0000040,Stanley Kubrick
49,0751577,Anthony Russo
50,0751648,Joe Russo
51,2130108,Bob Persichetti
52,0709056,Peter Ramsey
53,0745247,Rodney Rothman
54,0005222,Sam Mendes
55,0661791,Park Chan-wook
56,0881279,Lee Unkrich
57,2937122,Adrian Molina
58,0005124,John Lasseter
59,0000583,Wolfgang Petersen
60,0000154,Mel Gibson
61,0680846,Todd Phillips
62,0001814,Gus Van Sant
63,1396121,Makoto Shinkai
64,0386246,Rajkumar Hirani
65,0002045,Stanley Donen
66,0000037,Gene Kelly
67,1701024,Nadine Labaki
68,0004716,Darren Aronofsky
69,0459552,Elem Klimov
70,0549658,Richard Marquand
71,0327273,Michel Gondry
72,0899121,Thomas Vinterberg
73,0000180,David Lean
74,0000080,Orson Welles
75,0000485,Fritz Lang
76,0000361,Brian De Palma
77,0000466,Jean-Pierre Jeunet
78,0487166,Yorgos Lanthimos
79,0898288,Denis Villeneuve
80,0000520,Michael Mann
81,0230032,Pete Docter
82,0677037,Bob Peterson
83,0612322,Robert Mulligan
84,0001351,George Roy Hill
85,1410815,Asghar Farhadi
86,2371802,Thomas Kail
87,0001532,John McTiernan
88,0451148,Aamir Khan
89,1244760,Amole Gupte
90,0005363,Guy Ritchie
91,0001120,Vittorio De Sica
92,0000436,Curtis Hanson
93,0386570,Oliver Hirschbiegel
94,4318159,Nitesh Tiwari
95,0268380,Peter Farrelly
96,1725469,Florian Zeller
97,2676052,Joseph Kosinski
98,0000581,Joseph L. Mankiewicz
99,0006452,Stanley Kramer
100,0001837,Peter Weir
101,0000759,Paul Thomas Anderson
102,0796117,M. Night Shyamalan
103,0868219,Guillermo del Toro
104,0000142,Clint Eastwood
105,0000165,Ron Howard
106,0001053,Ethan Coen
107,0001054,Joel Coen
108,0001379,John Huston
109,0000118,John Carpenter
110,0000416,Terry Gilliam
111,0001402,Terry Jones
112,0836328,John Sturges
